date,stock_code,open,high,low,close,volume,amount,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
2022-08-24,002130.SZ,7.85,8.05,7.66,7.7,1088858.03,856197.616,8.7233,10.7464,2.49,17.5521,18.1534,2.4103,1.7943,1.7933,0.3893,0.4545,125989.8562,124822.468,101323.2625,970121.8927,961133.0036
2022-08-25,002130.SZ,7.86,7.98,7.29,7.37,724333.57,543572.658,5.8029,7.1487,1.21,16.7999,17.3754,2.307,1.7174,1.7164,0.4067,0.4749,125989.8562,124822.468,101323.2625,928545.2402,919941.5892
2022-08-26,002130.SZ,7.51,7.55,7.1,7.19,405860.32,296999.671,3.2515,4.0056,0.6,16.3896,16.9511,2.2507,1.6755,1.6745,0.4169,0.4868,125989.8562,124822.468,101323.2625,905867.0661,897473.5449
2022-08-29,002130.SZ,7.06,7.85,7.0,7.71,630192.4,473887.649,5.0487,6.2196,0.92,17.5749,18.177,2.4134,1.7967,1.7956,0.3888,0.454,125989.8562,124822.468,101323.2625,971381.7913,962381.2283
2022-08-30,002130.SZ,7.67,7.73,7.36,7.48,312375.14,233832.274,2.5026,3.083,0.45,17.0506,17.6348,2.3414,1.7431,1.7421,0.4008,0.4679,125989.8562,124822.468,101323.2625,942404.1244,933672.0606
2022-08-31,002130.SZ,7.51,7.56,6.99,7.07,490018.27,350233.351,3.9257,4.8362,0.77,16.116,16.6681,2.2131,1.6475,1.6466,0.424,0.495,125989.8562,124822.468,101323.2625,890748.2833,882494.8488
2022-09-01,002130.SZ,7.1,7.15,6.91,6.95,251218.67,176183.115,2.0126,2.4794,0.49,15.8425,16.3852,2.1755,1.6196,1.6186,0.4313,0.5036,125989.8562,124822.468,101323.2625,875629.5006,867516.1526
2022-09-02,002130.SZ,6.97,7.21,6.9,6.99,233892.09,164665.178,1.8738,2.3084,0.56,15.9337,16.4795,2.1881,1.6289,1.6279,0.4289,0.5007,125989.8562,124822.468,101323.2625,880669.0948,872509.0513
2022-09-05,002130.SZ,7.08,7.45,7.0,7.4,399910.86,291540.157,3.2038,3.9469,1.04,16.8683,17.4461,2.3164,1.7244,1.7234,0.4051,0.473,125989.8562,124822.468,101323.2625,932324.9359,923686.2632
2022-09-06,002130.SZ,7.44,7.85,7.4,7.78,565087.85,433259.724,4.5271,5.5771,1.67,17.7345,18.342,2.4354,1.813,1.8119,0.3853,0.4499,125989.8562,124822.468,101323.2625,980201.0812,971118.801
2022-09-07,002130.SZ,7.65,7.85,7.59,7.72,305489.69,236237.996,2.4474,3.015,0.79,17.5977,18.2006,2.4166,1.799,1.7979,0.3883,0.4534,125989.8562,124822.468,101323.2625,972641.6899,963629.453
2022-09-08,002130.SZ,7.68,8.05,7.65,7.73,513542.86,405049.324,4.1142,5.0684,1.46,17.6205,18.2241,2.4197,1.8013,1.8003,0.3878,0.4528,125989.8562,124822.468,101323.2625,973901.5884,964877.6776
